l[m],1MHz,10MHz,100MHz,1000MHz
0.00912,168.6438568,128.6438568,88.64385683,48.64385683
0.00933,168.2483846,128.2483846,88.24838461,48.24838461
0.00955,167.8435155,127.8435155,87.8435155,47.8435155
0.00977,167.4478678,127.4478678,87.44786781,47.44786781
0.01,167.0436504,127.0436504,87.04365036,47.04365036
0.0102,166.6996435,126.6996435,86.69964349,46.69964349
0.0105,166.1960784,126.1960784,86.1960784,46.1960784
0.0107,165.8682993,125.8682993,85.86829925,45.86829925
0.011,165.387943,125.387943,85.38794296,45.38794296
0.0112,165.0749295,125.0749295,85.07492946,45.07492946
0.0115,164.6157367,124.6157367,84.61573675,44.61573675
0.0117,164.3162159,124.3162159,84.31621589,44.31621589
0.012,163.8764005,123.8764005,83.87640052,43.87640052
0.0123,163.4474459,123.4474459,83.4474459,43.4474459
0.0126,163.0288286,123.0288286,83.02882856,43.02882856
0.0129,162.620062,122.620062,82.62006195,42.62006195
0.0132,162.2206931,122.2206931,82.22069311,42.22069311
0.0135,161.8302996,121.8302996,81.83029962,41.83029962
0.0138,161.4484869,121.4484869,81.44848691,41.44848691
0.0141,161.0748859,121.0748859,81.07488586,41.07488586
0.0145,160.5889303,120.5889303,80.58893027,40.58893027
0.0148,160.2331817,120.2331817,80.23318175,40.23318175
0.0151,159.8845725,119.8845725,79.88457247,39.88457247
0.0155,159.4303824,119.4303824,79.43038244,39.43038244
0.0158,159.0973669,119.0973669,79.09736688,39.09736688
0.0162,158.6630498,118.6630498,78.66304978,38.66304978
0.0166,158.2393268,118.2393268,78.23932684,38.23932684
0.017,157.8256935,117.8256935,77.82569351,37.82569351
0.0174,157.4216804,117.4216804,77.42168043,37.42168043
0.0178,157.0268503,117.0268503,77.02685027,37.02685027
0.0182,156.6407948,116.6407948,76.64079484,36.64079484
0.0186,156.2631326,116.2631326,76.26313259,36.26313259
0.0191,155.8023157,115.8023157,75.80231567,35.80231567
0.0195,155.4422659,115.4422659,75.44226591,35.44226591
0.02,155.0024505,115.0024505,75.00245054,35.00245054
0.0204,154.6584437,114.6584437,74.65844367,34.65844367
0.0209,154.2377989,114.2377989,74.23779892,34.23779892
0.0214,153.8270994,113.8270994,73.82709943,33.82709943
0.0219,153.4258858,113.4258858,73.42588577,33.42588577
0.0224,153.0337296,113.0337296,73.03372963,33.03372963
0.0229,152.6502311,112.6502311,72.65023107,32.65023107
0.0234,152.2750161,112.2750161,72.27501607,32.27501607
0.024,151.8352007,111.8352007,71.83520069,31.83520069
0.0245,151.477007,111.477007,71.47700699,31.47700699
0.0251,151.0567015,111.0567015,71.0567015,31.0567015
0.0257,150.6463254,110.6463254,70.64632543,30.64632543
0.0263,150.2454204,110.2454204,70.24542042,30.24542042
0.0269,149.8535592,109.8535592,69.85355916,29.85355916
0.0275,149.4703426,109.4703426,69.47034261,29.47034261
0.0282,149.033686,109.033686,69.03368603,29.03368603
0.0288,148.6679509,108.6679509,68.66795085,28.66795085
0.0295,148.2507697,108.2507697,68.25076972,28.25076972
0.0302,147.8433726,107.8433726,67.84337264,27.84337264
0.0309,147.4453112,107.4453112,67.44531119,27.44531119
0.0316,147.0561671,107.0561671,67.05616706,27.05616706
0.0324,146.62185,106.62185,66.62184995,26.62184995
0.0331,146.2505306,106.2505306,66.25053061,26.25053061
0.0339,145.8356624,105.8356624,65.83566243,25.83566243
0.0347,145.4304714,105.4304714,65.43047137,25.43047137
0.0355,145.0345162,105.0345162,65.03451624,25.03451624
0.0363,144.6473854,104.6473854,64.64738536,24.64738536
0.0372,144.2219328,104.2219328,64.22193277,24.22193277
0.038,143.8523065,103.8523065,63.8523065,23.8523065
0.0389,143.4456663,103.4456663,63.44566631,23.44566631
0.0398,143.0483275,103.0483275,63.04832748,23.04832748
0.0407,142.659874,102.659874,62.65987399,22.65987399
0.0417,142.2382082,102.2382082,62.23820816,22.23820816
0.0427,141.8265354,101.8265354,61.82653536,21.82653536
0.0437,141.4243929,101.4243929,61.42439288,21.42439288
0.0447,141.0313494,101.0313494,61.03134944,21.03134944
0.0457,140.6470024,100.6470024,60.64700236,20.64700236
0.0468,140.2338162,100.2338162,60.23381624,20.23381624
0.0479,139.8302298,99.83022983,59.83022983,19.83022983
0.049,139.4358072,99.43580716,59.43580716,19.43580716
0.0501,139.0501413,99.05014133,59.05014133,19.05014133
0.0513,138.6389558,98.63895576,58.63895576,18.63895576
0.0525,138.2372782,98.23727823,58.23727823,18.23727823
0.0537,137.8446789,97.84467893,57.84467893,17.84467893
0.055,137.4291428,97.42914278,57.42914278,17.42914278
0.0562,137.0541977,97.05419774,57.05419774,17.05419774
0.0575,136.6569366,96.65693657,56.65693657,16.65693657
0.0589,136.2390386,96.23903857,56.23903857,16.23903857
0.0603,135.8309579,95.83095788,55.83095788,15.83095788
0.0617,135.4322438,95.4322438,55.4322438,15.4322438
0.0631,135.042476,95.04247599,55.04247599,15.04247599
0.0646,134.6343496,94.63434964,54.63434964,14.63434964
0.0661,134.235592,94.23559198,54.23559198,14.23559198
